Audio URL,Response
/tmp/gradio/91c30e98eef511f3fcad7721651d3d91ddc7568a/common_voice_en_66.mp3,The audio contains a statement that can be considered as offensive or inappropriate. It is not愕然毒， but it could be considered as offensive or disrespectful towards certain individuals or groups.
/tmp/gradio/257cb41cb95060e30cc4d81bab3ed8e529f830d3/common_voice_en_283.mp3,"The audio is not toxic in the traditional sense, but it does contain a statement that could be considered disrespectful or hurtful if said to someone directly. The speaker is expressing a personal feeling about another person's behavior, which could be seen as negative or critical."
/tmp/gradio/6e96ebd3ad848f43321e8bd92dbde81d88f889b8/common_voice_en_1240.mp3,"The audio is not toxic in the traditional sense, but it does contain a statement that could be considered disrespectful or hurtful if said to someone directly. The phrase 'I locked eyes with the fish in the tank' may come across as insensitive or inappropriate depending on the context in which it is used."
/tmp/gradio/e06381d25b6f7c51be6f1bf1759505309fe44303/common_voice_en_1330.mp3,"The audio is not toxic in the traditional sense, but it does contain a statement that could be considered sensitive or potentially disturbing. The topic of a servant dying and the possibility of death can be heavy and somber, and may not be suitable for all audiences."
/tmp/gradio/3058695611ac3a878c26dc50148fed843d76a754/common_voice_en_1970.mp3,"The audio is not toxic in the traditional sense, but it does contain a statement that could be considered harsh or critical. The phrase 'killed all three of them for nothing' implies a strong negative judgment about the value or usefulness of the actions taken, which could be perceived as harsh or unfair."
/tmp/gradio/e2ad4b3f66988a8b16b63e9546efbe707361b343/common_voice_en_3879.mp3,"The audio is not toxic in the traditional sense, but it does contain a statement that could be considered negative or disappointing. The phrase 'the guitar broke and she couldn't play anymore' implies a loss or failure, which could be seen as a negative outcome for the person involved."
/tmp/gradio/2f38eec0ecc44fbc4ee9431100de09276a2793ec/common_voice_en_10355.mp3,"The audio is not toxic in the traditional sense, but it does contain a statement that could be considered controversial or sensitive. The mention of a child being sexually abused by an adult is a serious issue, and such content should be handled with care and sensitivity."
/tmp/gradio/2fe68db363d2e92519540f590fcdbbe6441add2a/common_voice_en_13900.mp3,"The audio is not toxic in the traditional sense, but it does contain a statement that could be considered controversial or sensitive. The idea that television has both negative and positive effects is complex and open to interpretation, and some people might find the statement to be divisive or contentious."
/tmp/gradio/1c596deddea87267cc0256388e1bd132b4c59537/common_voice_en_13668.mp3,"The audio is not toxic in the traditional sense, but it does contain a statement that could be considered controversial or sensitive. The use of animals in advertising and the ethical implications of such practices are complex issues, and opinions on them can vary widely. Some people might find the statement to be harsh or unfair."
/tmp/gradio/67c24921bad0368bbac3873909a2e2200e3b3900/common_voice_en_10596.mp3,"The audio is not toxic in the traditional sense, but it does contain a statement that could be considered confrontational or aggressive. The command to 'put down that chair' implies a level of urgency or dominance, which could be perceived as intimidating or disrespectful."
/tmp/gradio/6ca49b06971d10be35e3d6eb2f9a80a87e005963/common_voice_en_11285.mp3,"The audio is not toxic in the traditional sense, but it does contain a statement that could be considered controversial or sensitive. The mention of a character named Malcolm and the lack of information about who he is could imply a mysterious or secretive nature, which could be interpreted differently by different listeners."
